"Country Name","Country Code","Indicator Name","Indicator Code","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Lesotho","LSO","GDP growth","GDPG","2.35","7.36","3.29","5.67","1.78","4.67","3.44","5.49","0.38","5.66","3.67","1.99","3.46","2.8","2.94","4.1","4.85","5.09","4.51","5.57","4.29","6.01","5.78","5.56","5.49","5.11","5.38","5.52","5.11",
"Lithuania","LTU","GDP growth","GDPG","-5.7","-21.3","-16.2","-9.77","1.23","5.24","8.14","7.62","-1.02","3.62","6.7","6.84","10.28","7.37","7.79","7.81","9.8","2.91","-14.85","1.6","6.05","3.66","3.25","3.31","3.45","3.6","3.66","3.77","3.76",
"Luxembourg","LUX","GDP growth","GDPG","8.64","1.82","4.2","3.82","1.43","1.51","5.94","6.49","8.42","8.44","2.52","4.09","1.67","4.38","5.25","4.93","6.59","-0.73","-5.56","3.1","1.91","-0.18","1.96","2.09","1.86","1.96","2.22","2.15","2.22",
"Malawi","MWI","GDP growth","GDPG","8.73","-7.33","9.69","-10.31","13.83","9.98","6.59","1.06","3.54","0.78","-4.15","1.7","5.53","5.52","2.57","2.06","9.49","8.34","9.04","6.53","4.35","1.89","4.97","6.09","6.5","6.49","6.23","6.28","5.87",
"Malaysia","MYS","GDP growth","GDPG","9.55","8.89","9.9","9.21","9.83","10","7.32","-7.36","6.14","8.68","0.52","5.39","5.79","6.78","4.98","5.59","6.3","4.83","-1.51","7.42","5.13","5.64","4.69","5.2","5","5","5","5","5",
"Malta","MLT","GDP growth","GDPG","-0.98","-1.45","-0.75","2.86","3.66","3.32","4.68","4.21","3.55","4.78","0","2.43","0.72","-0.29","3.59","2.58","4.07","3.88","-2.81","3.34","1.72","0.86","2.4","1.83","1.77","1.68","1.61","1.64","1.7",
"Mauritius","MUS","GDP growth","GDPG","6.38","10.42","10.28","4.84","4.45","0.27","3.73","8.57","4.62","7.2","3.21","1.63","5.98","4.3","1.45","4.51","5.88","5.52","3.02","4.1","3.8","3.29","3.1","3.73","4.04","4.16","4.05","3.96","4.03",
"Mexico","MEX","GDP growth","GDPG","4.19","3.57","2.57","4.73","-5.76","5.88","6.96","4.7","2.67","5.3","-0.6","0.13","1.42","4.3","3.03","5","3.15","1.4","-4.7","5.11","3.96","3.91","1.06","2.99","3.48","3.75","3.75","3.75","3.75",
"Mongolia","MNG","GDP growth","GDPG","-9.2","-9.26","-3.17","2.13","6.38","2.23","3.9","3.34","3.07","1.15","2.95","4.73","7","10.63","7.25","8.56","10.25","8.9","-1.27","6.37","17.51","12.4","11.74","12.91","7.72","5.7","8.99","6.69","8.77",
"Montenegro","MNE","GDP growth","GDPG","-12.33","-6.12","-1.33","1.39","4.53","3.17","-1.31","3.5","1.37","5.1","1.1","1.9","2.5","4.4","4.2","8.6","10.7","6.9","-5.7","2.46","3.22","-2.55","3.35","2.82","2.92","2.64","2.93","2.89","3.06",
"Morocco","MAR","GDP growth","GDPG","6.9","-4.03","-1.01","10.36","-6.58","12.22","-2.23","7.67","0.53","1.59","7.55","3.32","6.32","4.8","2.98","7.76","2.71","5.59","4.76","3.64","4.99","2.69","4.54","3.91","4.89","5.18","5.39","5.61","5.6",
"Mozambique","MOZ","GDP growth","GDPG","6.55","-5.23","8.77","6.16","2.24","14.78","11.09","11.83","8.37","1.53","12.25","9.23","6.49","7.88","8.39","8.68","7.28","6.83","6.33","7.09","7.32","7.25","7.15","8.34","7.9","7.67","7.93","7.83","7.8",
"Nepal","NPL","GDP growth","GDPG","6.37","4.11","3.85","8.22","3.47","5.34","5.26","2.94","4.48","6.12","5.63","0.12","3.94","4.68","3.48","3.37","3.41","6.11","4.53","4.82","3.42","4.85","3.65","4.53","4.51","4.51","4.96","4.96","4.99",
"Netherlands","NLD","GDP growth","GDPG","2.44","1.71","1.26","2.96","3.12","3.41","4.28","3.92","4.68","3.94","1.93","0.08","0.34","2.24","2.05","3.39","3.92","1.8","-3.67","1.53","0.94","-1.25","-0.81","0.83","1.62","1.75","1.83","1.95","2.05",
"New Zealand","NZL","GDP growth","GDPG","-1.3","0.75","5.22","5.78","4.19","4.13","2.4","0.17","4.65","4.08","2.52","4.89","4.21","4.42","3.25","2.8","3.42","-0.85","-1.4","2.07","1.87","2.58","2.37","3.25","3.01","2.6","2.54","2.49","2.55",
"Nicaragua","NIC","GDP growth","GDPG","-0.15","0.4","-0.4","5","5.91","6.34","3.97","3.71","7.04","4.1","2.96","0.75","2.52","5.31","4.28","4.15","5.03","4","-2.18","3.62","5.45","5.21","4.2","4","4","4","4","4","4",
"Norway","NOR","GDP growth","GDPG","3.11","3.53","2.75","5.06","4.2","5.12","5.37","2.71","2.01","3.27","1.99","1.5","0.99","3.95","2.59","2.29","2.65","0.03","-1.39","0.61","1.06","2.79","0.76","1.79","1.85","1.97","2.05","2.08","2.1",
